source,target,value
Yone,Amumu,5.181730014316723
Tryndamere,Jhin,9.971083856815236
Jhin,Tryndamere,4.337077677061196
Malphite,MissFortune,14.288549315340346
MissFortune,Malphite,4.621012771965856
Rammus,MissFortune,13.706563706563706
MissFortune,Rammus,1.3670496117065656
Warwick,Jinx,5.02020202020202
Jinx,Warwick,4.433146017304433
Jinx,Lux,12.273659798412274
Lux,Jinx,4.941996192938979
Sion,Nami,5.605381165919283
Nami,Sion,2.642007926023778
Hecarim,Nami,5.281285878300804
Nami,Hecarim,2.430647291941876
Zyra,Caitlyn,8.426558186837136
Caitlyn,Zyra,3.051828466193107
Hecarim,Lux,12.227324913892078
Lux,Hecarim,2.295011313436052
Nautilus,MissFortune,13.688744034454661
MissFortune,Nautilus,3.7738270971054493
Cassiopeia,Kayn,8.765038055487356
Kayn,Cassiopeia,1.7692536425810288
Cassiopeia,MissFortune,13.82273508470415
MissFortune,Cassiopeia,1.8066876323727616
Camille,Ekko,5.499226671249356
Ekko,Camille,3.0262909022129754
Sett,Kayn,8.866384962844236
Kayn,Sett,6.031321240955496
Zyra,MissFortune,14.441377306407091
MissFortune,Zyra,3.18978242731532
Lillia,Zed,7.825584753104245
Zed,Lillia,2.9736105777143798
Nasus,MissFortune,13.585340113211167
MissFortune,Nasus,4.543995892433092
Shaco,MissFortune,13.695949911954608
MissFortune,Shaco,4.492651306077915
Katarina,Amumu,5.296152183311716
Amumu,Katarina,6.188952509262378
MissFortune,Amumu,7.059880623836724
Amumu,MissFortune,18.52475581003705
Annie,Nasus,5.093776641091219
Nasus,Annie,2.2930058524417154
Annie,Amumu,5.200341005967604
Amumu,Annie,2.054563826204109
Zed,Ashe,5.491852745926373
Ashe,Zed,7.861462341946124
Urgot,Tristana,6.102212051868802
Tristana,Urgot,2.4092757114892334
Urgot,Leona,5.205949656750572
Leona,Urgot,2.373913043478261
Teemo,Leona,5.046025666868239
Leona,Teemo,6.530434782608696
Brand,Zed,8.094678832776221
Zed,Brand,4.915784276073956
Trundle,Lux,13.118407368890209
Lux,Trundle,3.171353661602557
Garen,Lux,12.792792792792792
Lux,Garen,4.080020112775204
Warwick,MissFortune,13.91919191919192
MissFortune,Warwick,4.422052499839548
Rammus,Lux,11.96911196911197
Lux,Rammus,1.336062924253852
Xerath,Graves,5.630717691019198
Graves,Xerath,3.3138697201789644
Teemo,MissFortune,13.243297722233422
MissFortune,Teemo,6.325011231628265
DrMundo,MasterYi,6.624132107337212
MasterYi,DrMundo,2.405287544289997
Amumu,Vayne,7.384641293364769
Vayne,Amumu,5.055337791099839
Sett,Amumu,5.107096022147749
Amumu,Sett,5.902660828561805
MasterYi,Katarina,6.527664213682202
Katarina,MasterYi,6.90301196137772
MasterYi,Vayne,7.488416462251295
Vayne,MasterYi,6.335024210283606
Kassadin,Nami,5.658582976699952
Nami,Kassadin,2.0959929546455305
Khazix,Jhin,10.080896079651524
Jhin,Khazix,6.323459253155224
Blitzcrank,Khazix,6.464379947229551
Khazix,Blitzcrank,4.065546567102261
Xerath,Caitlyn,8.362324442726452
Caitlyn,Xerath,3.4148908182057354
Velkoz,Kayn,9.303495096806639
Kayn,Velkoz,1.833680245812271
Garen,Yuumi,6.858108108108107
Yuumi,Garen,4.10294414875699
Blitzcrank,Jinx,5.430958663148637
Jinx,Blitzcrank,4.406386584604406
Pyke,Katarina,5.994550408719346
Katarina,Pyke,4.755728491137051
Ahri,Sett,6.186069167072577
Sett,Ahri,2.7757540434212444
Sett,Morgana,7.2854436835203265
Morgana,Sett,5.94883997620464
Ahri,MasterYi,6.429615197272284
MasterYi,Ahri,2.698282910874898
Malphite,Tristana,5.804723159357016
Tristana,Malphite,4.404457160066255
Fizz,Tristana,6.205408992865439
Tristana,Fizz,2.8158409878030417
Fiora,Jhin,10.128988458927358
Jhin,Fiora,3.2354599470876524
Brand,Sett,5.827084650826633
Sett,Brand,4.699111175870611
MasterYi,Brand,5.437448896156991
Brand,MasterYi,7.209323335441323
Kayle,Nami,5.0869012293344635
Nami,Kayle,3.1704095112285335
Shaco,Sett,6.104480532185482
Sett,Shaco,4.546116858516683
Kassadin,Sett,6.110318592486923
Sett,Kassadin,1.8723590266647236
Xerath,Ezreal,8.916376755572736
Ezreal,Xerath,3.9262411347517734
Khazix,Vex,6.485514761805988
Vex,Khazix,6.36406811859692
Sion,Khazix,6.315396113602392
Khazix,Sion,2.336997856599599
Caitlyn,Morgana,11.281241778479348
Morgana,Caitlyn,12.75431290898275
Sona,Yone,9.280500521376434
Yone,Sona,1.644113979587124
Sona,Ezreal,8.237747653806048
Ezreal,Sona,1.7929078014184399
Annie,Vayne,7.864450127877237
Vayne,Annie,2.1270463454000463
Kennen,MissFortune,14.09412955465587
MissFortune,Kennen,1.7874334124895708
Lillia,MissFortune,14.366156511695063
MissFortune,Lillia,3.1929914639625183
Twitch,Lulu,12.300135855366287
Lulu,Twitch,13.282925177745176
Sett,Vex,6.382048666763806
Vex,Sett,5.943415428455119
Draven,Yuumi,6.897823681298414
Yuumi,Draven,3.7795593882638276
Zac,Yasuo,16.06268364348678
Yasuo,Zac,2.0807561772449015
Teemo,Viego,6.0606060606060606
Viego,Teemo,6.59597806215722
Gnar,MissFortune,13.627700127064804
MissFortune,Gnar,1.3766767216481612
Lillia,Pyke,5.096736933294832
Pyke,Lillia,3.206176203451408
Evelynn,Leona,5.4321448571961914
Leona,Evelynn,2.5304347826086957
Sona,Kayn,8.628779979144943
Kayn,Sona,1.640400436118545
Sona,MissFortune,14.963503649635038
MissFortune,Sona,1.8419870354919452
Swain,Graves,5.750108084738435
Graves,Swain,3.025707135815576
Nocturne,Caitlyn,8.46931894807822
Caitlyn,Nocturne,3.304393580636675
Vi,Teemo,6.468006468006468
Teemo,Vi,1.8813411274608611
Evelynn,Vayne,7.634870263207019
Vayne,Evelynn,2.3576204749827068
Ekko,Leona,5.314923397011538
Leona,Ekko,4.886956521739131
DrMundo,MissFortune,13.736160630512293
MissFortune,DrMundo,2.34901482574931
XinZhao,Katarina,6.070763500931099
Katarina,XinZhao,3.5235624729788153
Evelynn,Zed,8.026880716819115
Zed,Evelynn,2.359137543205135
Kayn,Jhin,10.23391812865497
Jhin,Kayn,8.95606540313137
Swain,Jhin,12.393716673872316
Jhin,Swain,3.7298868022726284
Ekko,Irelia,6.922640438812181
Irelia,Ekko,4.504892608775925
MasterYi,Ashe,5.498773507767784
Ashe,MasterYi,6.3378622477028195
Ashe,Katarina,6.361423073902459
Katarina,Ashe,5.836575875486381
Kayle,Leona,5.468418821534549
Leona,Kayle,3.3652173913043484
MonkeyKing,Yuumi,6.734340183213666
Yuumi,MonkeyKing,1.8325136427945834
Twitch,Yuumi,13.846796948479465
Yuumi,Twitch,8.926766826113319
Vayne,Lulu,7.1766197832603185
Lulu,Vayne,14.050332919535041
Twitch,Graves,5.601421256139617
Graves,Twitch,4.0646090847046334
Lulu,Graves,6.206974382123914
Graves,Lulu,4.17077424736483
Vi,MissFortune,13.490413490413491
MissFortune,Vi,1.8740774019639306
Zyra,Yasuo,13.424378904547435
Yasuo,Zyra,2.93082120087544
MasterYi,Lux,12.782774597983101
Lux,MasterYi,6.737779693280179
Ekko,Jinx,5.125780215623227
Jinx,Ekko,4.834537507804835
Warwick,Yuumi,6.373737373737373
Yuumi,Warwick,4.251162163983023
Malzahar,Ashe,5.62038580614432
Ashe,Malzahar,1.8534516610382472
Soraka,Ashe,5.442176870748299
Ashe,Soraka,3.204272363150868
Kayle,Amumu,5.652112477038293
Amumu,Kayle,3.3681374200067364
Kassadin,Viego,6.062767475035663
Viego,Kassadin,1.8647166361974405
LeeSin,Vex,6.418341873603994
Vex,LeeSin,6.62867223013773
Vex,Jhin,9.837845172671145
Jhin,Vex,6.288762631738734
Poppy,Katarina,6.675567423230974
Katarina,Poppy,1.801412307248883
Nasus,Tristana,6.101890050849084
Tristana,Nasus,4.788435476584851
Braum,Khazix,7.046799354491662
Khazix,Braum,1.8115190486067898
JarvanIV,Vayne,7.942536327608983
Vayne,JarvanIV,2.7726539082314967
Sivir,Kayn,8.760923145866009
Kayn,Sivir,1.9377539894935076
Urgot,Jhin,10.659801678108314
Jhin,Urgot,2.4244264214772087
Renekton,MissFortune,14.277777777777779
MissFortune,Renekton,1.6494448366600345
XinZhao,Morgana,7.635009310986965
Morgana,XinZhao,3.6585365853658534
MonkeyKing,Lux,12.379301807378065
Lux,MonkeyKing,1.7957835003411988
Zac,Irelia,7.0274240940254655
Irelia,Zac,1.7662625392331834
Draven,Sylas,5.201032829214312
Sylas,Draven,3.7098754604455357
Veigar,Khazix,6.443587510884438
Khazix,Veigar,3.5815529281615155
Annie,MasterYi,6.457800511508951
MasterYi,Annie,2.064595257563369
Illaoi,Morgana,8.05921052631579
Morgana,Illaoi,1.7489589530041643
Lillia,Jinx,5.125613629800751
Jinx,Lillia,3.1665328695031665
Jinx,Lulu,6.787976094906788
Lulu,Jinx,8.588195463265997
Garen,Amumu,5.123873873873873
Amumu,Garen,3.8312563152576624
Chogath,MissFortune,13.409961685823754
MissFortune,Chogath,2.021693087735062
Sett,Katarina,5.937636602069066
Katarina,Sett,5.872604121631359
Vladimir,Amumu,5.085582620144832
Amumu,Vladimir,2.601886156955204
Nocturne,Morgana,7.6736345246122735
Morgana,Nocturne,3.3848899464604405
Diana,Tristana,6.049744759422179
Tristana,Diana,4.193645535310947
Vladimir,Nami,5.513495720868993
Nami,Vladimir,2.9502421840598854
Warwick,Teemo,6.8181818181818175
Teemo,Warwick,4.5353759322717195
Darius,Vex,6.517597513285872
Vex,Darius,4.410068525680169
Velkoz,Ezreal,8.800603469952225
Ezreal,Velkoz,1.9858156028368796
Sona,Khazix,6.256517205422315
Khazix,Sona,1.6594067620825554
Sona,Vayne,8.498435870698644
Vayne,Sona,1.8791791560986857
Yorick,Jhin,10.348042262274705
Jhin,Yorick,1.4442468664613783
Yorick,Lux,13.393412057178372
Lux,Yorick,1.5479653772941133
Sivir,Teemo,6.856374635895138
Teemo,Sivir,2.0560370892965127
Vi,Jhin,10.025410025410025
Jhin,Vi,1.8822917118445592
Rakan,Khazix,6.843177189409369
Khazix,Rakan,2.323169466915578
Nunu,Teemo,6.755821996771962
Teemo,Nunu,1.968689108378687
Nunu,Vayne,7.724233341019138
Vayne,Nunu,1.9310583352547845
Nautilus,Katarina,6.134326620882319
Katarina,Nautilus,3.7973771436806456
Jax,Ashe,5.820774298348525
Ashe,Jax,5.065577632922328
Warwick,Ashe,6.1010101010101
Ashe,Warwick,4.743579674860598
Warwick,Brand,5.262626262626262
Brand,Warwick,4.706838919504923
Evelynn,Sett,6.3281687511666975
Sett,Evelynn,2.469765408713391
Evelynn,Yuumi,7.0748553294754535
Yuumi,Evelynn,2.553392171393923
Nautilus,Graves,5.773483878477476
Graves,Nautilus,3.7612800485326456
Nautilus,Khazix,6.448609009428472
Khazix,Nautilus,3.830463942473899
Jinx,Morgana,7.144768530907145
Morgana,Jinx,4.765020820939917
Volibear,Lux,12.41953385127636
Lux,Volibear,4.018963473763603
Nocturne,Katarina,6.284558327714093
Katarina,Nocturne,3.3578325407119185
Camille,Jhin,9.864237841553532
Jhin,Camille,2.4894825866331267
Velkoz,Jhin,10.837314558712597
Jhin,Velkoz,1.8692804788133757
Jinx,Graves,5.655160110605655
Graves,Jinx,4.807765223326003
Lissandra,MissFortune,13.972955569864778
MissFortune,Lissandra,1.3927219048841537
Garen,Brand,5.011261261261262
Brand,Garen,4.02023669708194
Braum,Ashe,8.741258741258742
Ashe,Braum,2.5524228382941963
Soraka,Jinx,5.188742163532079
Jinx,Soraka,3.46980644010347
Nasus,MasterYi,6.600786721673223
MasterYi,Nasus,4.687925865358408
Braum,Vayne,7.55782678859602
Vayne,Braum,1.6197832603181923
Janna,Ezreal,7.804568527918781
Ezreal,Janna,1.3957446808510638
Leblanc,Khazix,6.239577543079489
Khazix,Leblanc,3.1044734840627806
Blitzcrank,Tristana,7.014072119613017
Tristana,Blitzcrank,4.8034934497816595
FiddleSticks,Yasuo,14.810810810810812
Yasuo,FiddleSticks,1.7381926602594602
Kennen,Khazix,6.351214574898785
Khazix,Kennen,1.7354629053446726
