source,target,conf,win_rate
Soraka,Kayn,9.003601440576231,0.5155555555555555
Kayn,Soraka,3.3452274754683318,0.5155555555555555
Soraka,Vayne,8.96358543417367,0.5520833333333334
Vayne,Soraka,3.873645376988702,0.5520833333333334
Leblanc,Kayn,9.04669260700389,0.4685099846390169
Kayn,Leblanc,3.226286054118347,0.4685099846390169
Swain,Kayn,9.07911802853437,0.49682539682539684
Kayn,Swain,3.1222123104371096,0.49682539682539684
Nocturne,Tristana,5.9878624409979775,0.5698198198198198
Tristana,Nocturne,3.3428700496913115,0.5698198198198198
Nocturne,Lux,12.380310182063385,0.5272331154684096
Lux,Nocturne,3.2970585066264415,0.5272331154684096
Maokai,MissFortune,15.164835164835164,0.605072463768116
MissFortune,Maokai,0.885694114626789,0.605072463768116
Kayn,MissFortune,13.484983645554566,0.5042263873575891
MissFortune,Kayn,8.731788717027149,0.5042263873575891
Aatrox,Vex,6.5393988627132416,0.546583850931677
Vex,Aatrox,2.1846801004138676,0.546583850931677
Xerath,Jhin,11.841257569900785,0.558215451577802
Jhin,Xerath,3.9857743852192393,0.558215451577802
LeeSin,Katarina,5.984758901589804,0.4039517014270033
Katarina,LeeSin,6.56434644761493,0.4039517014270033
Sylas,MasterYi,6.226977723206455,0.45774647887323944
MasterYi,Sylas,4.837830471518125,0.45774647887323944
Talon,Lucian,8.049659591509812,0.4079601990049751
Lucian,Talon,3.2172010884063384,0.4079601990049751
Braum,Lucian,20.952124798278646,0.5096277278562259
Lucian,Braum,4.156218321506696,0.5096277278562259
Malzahar,Viego,5.977613717551798,0.5697211155378487
Viego,Malzahar,1.8354661791590492,0.5697211155378487
Darius,Morgana,7.420034092048532,0.49594594594594593
Morgana,Darius,4.402141582391433,0.49594594594594593
Nunu,Ezreal,7.6781185151026055,0.5225225225225225
Ezreal,Nunu,1.8893617021276596,0.5225225225225225
Zyra,Ezreal,8.397501089641144,0.5484429065743944
Ezreal,Zyra,3.279432624113475,0.5484429065743944
Darius,Ezreal,7.540358969216886,0.4867021276595745
Ezreal,Darius,4.266666666666667,0.4867021276595745
Hecarim,Ezreal,8.285495598928435,0.48498845265588914
Ezreal,Hecarim,2.4567375886524823,0.48498845265588914
Vladimir,Ezreal,7.603686635944701,0.4458874458874459
Ezreal,Vladimir,2.6212765957446806,0.4458874458874459
Vladimir,Thresh,5.414746543778802,0.44072948328267475
Thresh,Vladimir,2.6534397935317364,0.44072948328267475
Lillia,Yasuo,13.427663875252671,0.5376344086021505
Yasuo,Lillia,2.949852507374631,0.5376344086021505
Lillia,Lucian,8.605255558764076,0.4983221476510067
Lucian,Lillia,3.1798538120898465,0.4983221476510067
Lillia,Thresh,5.544325729136586,0.5026041666666666
Thresh,Lillia,3.0970239535446407,0.5026041666666666
Evelynn,Yasuo,15.904424117976479,0.4953051643192488
Yasuo,Evelynn,2.7024455228851463,0.4953051643192488
Evelynn,Thresh,6.234832928878103,0.47904191616766467
Thresh,Evelynn,2.6937656262601823,0.47904191616766467
Mordekaiser,MasterYi,6.715575620767495,0.5266106442577031
MasterYi,Mordekaiser,4.865085854456256,0.5266106442577031
Varus,MasterYi,6.858227161832476,0.5019762845849802
MasterYi,Varus,1.7239029708367402,0.5019762845849802
Malphite,MasterYi,7.035126017066879,0.5514809590973202
MasterYi,Malphite,4.831016625783592,0.5514809590973202
Shen,Tristana,5.690890481064483,0.5035971223021583
Tristana,Shen,2.093058274356272,0.5035971223021583
Qiyana,Yuumi,6.562625050020008,0.5040650406504065
Yuumi,Qiyana,3.314693795054908,0.5040650406504065
Vladimir,Yuumi,7.965766951942068,0.49586776859504134
Yuumi,Vladimir,3.2607963349727145,0.49586776859504134
Poppy,Ezreal,7.770360480640854,0.48109965635738833
Ezreal,Poppy,1.651063829787234,0.48109965635738833
Blitzcrank,MissFortune,13.456464379947231,0.5318627450980392
MissFortune,Blitzcrank,3.9278608561709776,0.5318627450980392
Jax,MissFortune,13.473513220828446,0.4916275954454119
MissFortune,Jax,4.791091714267377,0.4916275954454119
Pyke,Kayn,8.57402361489555,0.4925847457627119
