source,target,value
Jhin,Rammus,0.1319104535853346
Sona,Zed,0.11367203074234622
Sona,Teemo,0.10009925095221532
Braum,Irelia,0.10434074463663123
Ashe,DrMundo,0.1323346029537762
Brand,TahmKench,0.12385161558494438
Volibear,Xerath,0.12385161558494438
Irelia,Nunu,0.1285172586378019
Kayn,Malzahar,0.14887642832299822
DrMundo,Senna,0.11155128390013826
Nunu,Zed,0.11027883579481351
Kayle,MasterYi,0.17432539042949363
Blitzcrank,Trundle,0.10391659526818964
Soraka,Warwick,0.1191859725320869
Nasus,Trundle,0.10900638768948873
Ekko,Khazix,0.10264414716286488
Nami,XinZhao,0.1459073827439071
MasterYi,Rakan,0.10943053705793032
Braum,Teemo,0.10815808895260554
MissFortune,Ornn,0.15184547390208936
Camille,Graves,0.1107029851632551
Yone,Ziggs,0.14039344095416642
Malzahar,Yuumi,0.11324788137390464
Amumu,Graves,0.16796314990286978
Ahri,Nami,0.1191859725320869
Blitzcrank,Twitch,0.12469991432182757
Pyke,Xayah,0.10221999779442328
Jhin,Neeko,0.14081759032260802
