17,KR_5531810201,KR_5531686161,KR_5531528787,KR_5531611581,KR_5531234956,KR_5531157177,KR_5531131410,KR_5528595614,KR_5528561646,KR_5528493387
18,KR_5450104584,KR_5449921906,KR_5449940183,KR_5448484922,KR_5448471443,KR_5447621204,KR_5447509368,KR_5447507108,KR_5445154676,KR_5445140361
19,KR_5524945515,KR_5524895439,KR_5524904377,KR_5481704128,KR_5481665288,KR_5463822437,KR_5463695480,KR_5463670773,KR_5459851695,KR_5459520252
20,KR_5530020074,KR_5529834073,KR_5529737620,KR_5529810619,KR_5529696902,KR_5519530718,KR_5519365879,KR_5519263800,KR_5519145525,KR_5518372667
21,KR_5530998883,KR_5516385795,KR_5516350812,KR_5516236762,KR_5516222407,KR_5516154947,KR_5515075464,KR_5515110854,KR_5514937532,KR_5514931448
22,KR_5529564316,KR_5529592313,KR_5520920266,KR_5520856039,KR_5519467107,KR_5519600971,KR_5519338405,KR_5519364127,KR_5519291890,KR_5519157393
23,KR_5531981951,KR_5531898792,KR_5531819245,KR_5531854829,KR_5531777269,KR_5531771344,KR_5531606609,KR_5530298301,KR_5530293724,KR_5530018285
24,KR_5530490719,KR_5530337770,KR_5529664312,KR_5529631876,KR_5529557371,KR_5528283492,KR_5528016534,KR_5527993141,KR_5527940172,KR_5527895145
25,KR_5530980965,KR_5530895792,KR_5530843296,KR_5530811273,KR_5530787338,KR_5528699824,KR_5528752280,KR_5528605051,KR_5528478251,KR_5528433139
26,KR_5532076235,KR_5532075838,KR_5532007132,KR_5532006638,KR_5532034213,KR_5532042664,KR_5532021427,KR_5532000341,KR_5531966199,KR_5531983332
27,KR_5473468323,KR_5473398219,KR_5473372493,KR_5459529922,KR_5459404487,KR_5458327820,KR_5443158442,KR_5442812866,KR_5442708430,KR_5442250616
28,KR_5439023455,KR_5438884547,KR_5438735701,KR_5438592253,KR_5438601091,KR_5438465440,KR_5438286756,KR_5437697069,KR_5437280812,KR_5437197490
29,KR_5525011614,KR_5524960926,KR_5524958412,KR_5523761721,KR_5523625465,KR_5523569104,KR_5522153141,KR_5522090144,KR_5522046153,KR_5522070794
30,KR_5511904675,KR_5508584187,KR_5486767160,KR_5484806708,KR_5480056559,KR_5480090574,KR_5479973150,KR_5474268748,KR_5473255396,KR_5472743614
31,KR_5529200238,KR_5529110995,KR_5529066376,KR_5529051854,KR_5528758743,KR_5528704876,KR_5528578737,KR_5528564565,KR_5523135353,KR_5523132073
32,KR_5507919237,KR_5467363319,KR_5467294802,KR_5457892686,KR_5456582083,KR_5456621375,KR_5456510965,KR_5455069748,KR_5455086503,KR_5455053004
33,KR_5530897238,KR_5530864673,KR_5530656975,KR_5530665335,KR_5530615325,KR_5530633708,KR_5530672257,KR_5530671786,KR_5530661698,KR_5530631598
34,KR_5531129820,KR_5531113488,KR_5531067676,KR_5531060252,KR_5530947767,KR_5530925748,KR_5529738447,KR_5529687373,KR_5529654273,KR_5529614818
35,KR_5530575369,KR_5530524993,KR_5530532532,KR_5529403386,KR_5529185733,KR_5529125020,KR_5529123013,KR_5529110270,KR_5529044776,KR_5528951089
36,KR_5524306378,KR_5523720696,KR_5512152736,KR_5512037086,KR_5512032505,KR_5511904689,KR_5511930976,KR_5511705913,KR_5511652120,KR_5511630438
37,KR_5531809480,KR_5531830911,KR_5531726906,KR_5531752319,KR_5531654190,KR_5531551780,KR_5531366086,KR_5531293770,KR_5531232825,KR_5530925799
38,KR_5525737389,KR_5508772753,KR_5508689328,KR_5497004852,KR_5491771806,KR_5491687399,KR_5482944367,KR_5482891663,KR_5482833105,KR_5482619780
39,KR_5526239264,KR_5526226382,KR_5444196443,KR_5443155491,KR_5442868050,KR_5438926086,KR_5438911659,KR_5438838322,KR_5438814186,KR_5438801511
40,KR_5471686005,KR_5471761985,KR_5471598301,KR_5471593923,KR_5471238845,KR_5471262818,KR_5471146297,KR_5471079102,KR_5465121126,KR_5465026357
41,KR_5499588105,KR_5499612799,KR_5499482929,KR_5499357665,KR_5499329248,KR_5499293182,KR_5499238268,KR_5498493236,KR_5498511176,KR_5498437143
42,KR_5531853167,KR_5531800440,KR_5531763878,KR_5531523835,KR_5531208346,KR_5531126225,KR_5531131290,KR_5531075921,KR_5530426363,KR_5530500968
43,KR_5481592502,KR_5481445248,KR_5481420040,KR_5479941717,KR_5479609504,KR_5479517231,KR_5479484184,KR_5479358253,KR_5478295501,KR_5478118414
44,KR_5531145428,KR_5531098652,KR_5531085653,KR_5531024325,KR_5529816813,KR_5529709706,KR_5529562570,KR_5529439530,KR_5528174895,KR_5528088428
45,KR_5528225492,KR_5524338280,KR_5518911449,KR_5518109906,KR_5513525301,KR_5511494974,KR_5501602360,KR_5500628195,KR_5498435239,KR_5495776488
46,KR_5531748877,KR_5531744725,KR_5531760767,KR_5531529318,KR_5531563680,KR_5531307739,KR_5529815348,KR_5529723705,KR_5523134003,KR_5522988833
47,KR_5528135996,KR_5528141767,KR_5523661913,KR_5523519581,KR_5522270840,KR_5522139176,KR_5522117776,KR_5520572879,KR_5520531413,KR_5518810997
48,KR_5531056940,KR_5530490445,KR_5520938303,KR_5520982779,KR_5520970190,KR_5519291474,KR_5513804889,KR_5513697301,KR_5506176544,KR_5506122712
49,KR_5443731066,KR_5443224707,KR_5442898399,KR_5442431974,KR_5442373555,KR_5442276778,KR_5442129457,KR_5440739090,KR_5439710751,KR_5439352963
50,KR_5522937705,KR_5522569666,KR_5512279956,KR_5510856078,KR_5510669757,KR_5510369011,KR_5508810943,KR_5508689403,KR_5508675681,KR_5486484019
51,KR_5528172448,KR_5528115552,KR_5528019319,KR_5528011332,KR_5527925575,KR_5525905226,KR_5525893728,KR_5525847369,KR_5525794575,KR_5522218257
